nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,756453,BornEco/63dcef1cde530c3ec2928c1e,Voirie,"3  Place Maurice de Sully, Sully-sur-Loire  45600  France",""," [2.376104 , 47.765942] ",2,FRBHMEPARKINGSULLY2,1843875,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-21,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,683228,CARF - Bornes Publiques/170A9812-9FD4-4F8A-85EA-C6C26D275BAA,Voirie,"  Avenue Princesse Grace, Roquebrune-Cap-Martin  06190  France",""," [7.438363 , 43.751828] ",2,FREVZEDJEM1,1653440,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-30,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,683228,CARF - Bornes Publiques/170A9812-9FD4-4F8A-85EA-C6C26D275BAA,Voirie,"  Avenue Princesse Grace, Roquebrune-Cap-Martin  06190  France",""," [7.438363 , 43.751828] ",2,FREVZEDREY1,1653443,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-30,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,674339,CARF - Bornes Publiques/1e51511b-9531-42b9-a289-d22cf5984e15,Voirie,"  Avenue de Verdun, Beausoleil  06240  France",""," [7.42744 , 43.745292] ",2,FREVZETYAM1,1621817,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-01,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,674339,CARF - Bornes Publiques/1e51511b-9531-42b9-a289-d22cf5984e15,Voirie,"  Avenue de Verdun, Beausoleil  06240  France",""," [7.42744 , 43.745292] ",2,FREVZETYME1,1621820,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-01,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,683237,CARF - Bornes Publiques/86AFAEBF-A07F-4F93-981B-80D9BC7F856F,Voirie,"  Avenue Raymond Poincaré, Roquebrune-Cap-Martin  06190  France",""," [7.45799 , 43.765323] ",2,FREVZEJOCE1,1653461,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-30,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,683237,CARF - Bornes Publiques/86AFAEBF-A07F-4F93-981B-80D9BC7F856F,Voirie,"  Avenue Raymond Poincaré, Roquebrune-Cap-Martin  06190  France",""," [7.45799 , 43.765323] ",2,FREVZEJENS1,1653458,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-30,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,593336,CARF - Bornes Publiques/91981169-1681-42D0-836C-51CDB0788AEC,Voirie,"248  Route de Saint-Jean, Sainte-Agnès  06500  France",""," [7.469054 , 43.78898] ",2,FREVZENORB1,1446833,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,593336,CARF - Bornes Publiques/91981169-1681-42D0-836C-51CDB0788AEC,Voirie,"248  Route de Saint-Jean, Sainte-Agnès  06500  France",""," [7.469054 , 43.78898] ",2,FREVZENATE1,1446830,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,593339,CARF - Bornes Publiques/A1952231-8C6B-4306-B109-106BE66B07FC,Voirie,"103  Avenue Saint-Michel, Sainte-Agnès  06500  France",""," [7.477096 , 43.795037] ",2,FREVZECYRE1,1446839,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,593339,CARF - Bornes Publiques/A1952231-8C6B-4306-B109-106BE66B07FC,Voirie,"103  Avenue Saint-Michel, Sainte-Agnès  06500  France",""," [7.477096 , 43.795037] ",2,FREVZEATAF1,1446836,22,True,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,377745,CARF - Bornes Publiques/A94F6CB6-F1DE-4311-87F5-E1C21C182281,Voirie,"9  Boulevard des Moneghetti, Beausoleil  06240  France",""," [7.41676 , 43.73867] ",4,FREVZEYAIN1,899268,22,True,True,False,False,False,True,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,CARF - Bornes Publiques,Non concerné,377745,CARF - Bornes Publiques/A94F6CB6-F1DE-4311-87F5-E1C21C182281,Voirie,"9  Boulevard des Moneghetti, Beausoleil  06240  France",""," [7.41676 , 43.73867] ",4,FREVZEYAPI1,899262,22,True,True,False,False,False,True,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613273,ENGIE MAMP - Bornes publiques/07732A52-7E9B-4CE7-B528-7194497E2FA4,Voirie,"91  Rue du Rouet, Marseille  13008  France",""," [5.389461 , 43.280847] ",2,FREVZEBRAX2,1514029,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613273,ENGIE MAMP - Bornes publiques/07732A52-7E9B-4CE7-B528-7194497E2FA4,Voirie,"91  Rue du Rouet, Marseille  13008  France",""," [5.389461 , 43.280847] ",2,FREVZEBRAX1,1514026,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613282,ENGIE MAMP - Bornes publiques/2BF3213A-A7EC-40A8-B813-0BF5E51C0015,Voirie,"  Boulevard de la Libération, Marseille  13001  France",""," [5.387781 , 43.299928] ",2,FREVZEDARL1,1514044,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613282,ENGIE MAMP - Bornes publiques/2BF3213A-A7EC-40A8-B813-0BF5E51C0015,Voirie,"  Boulevard de la Libération, Marseille  13001  France",""," [5.387781 , 43.299928] ",2,FREVZEDARL2,1514047,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613285,ENGIE MAMP - Bornes publiques/2EBBB4AD-905E-4898-95B8-DDDE26691452,Voirie,"12  Rue Urbain V, Marseille  13002  France",""," [5.367613 , 43.315171] ",2,FREVZEADAI2,1514053,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613285,ENGIE MAMP - Bornes publiques/2EBBB4AD-905E-4898-95B8-DDDE26691452,Voirie,"12  Rue Urbain V, Marseille  13002  France",""," [5.367613 , 43.315171] ",2,FREVZEADAI1,1514050,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,678947,ENGIE MAMP - Bornes publiques/42113B28-27BD-4D95-9734-AFCB50E0863D,Voirie,"84  Rue de Lodi, Marseille  13006  France",""," [5.387834 , 43.288587] ",2,FREVZEASAE2,1638476,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-12,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,678947,ENGIE MAMP - Bornes publiques/42113B28-27BD-4D95-9734-AFCB50E0863D,Voirie,"84  Rue de Lodi, Marseille  13006  France",""," [5.387834 , 43.288587] ",2,FREVZEASAE1,1638473,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-12,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613300,ENGIE MAMP - Bornes publiques/5492DD66-0694-4F31-9E42-717F02FF06CA,Voirie,"4  Rue André Isaia, Marseille  13013  France",""," [5.4014 , 43.319046] ",2,FREVZEAHRI2,1514083,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613300,ENGIE MAMP - Bornes publiques/5492DD66-0694-4F31-9E42-717F02FF06CA,Voirie,"4  Rue André Isaia, Marseille  13013  France",""," [5.4014 , 43.319046] ",2,FREVZEAHRI1,1514080,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613312,ENGIE MAMP - Bornes publiques/8EF05F63-6AFE-4F04-A9E3-CA50849D61AC,Voirie,"57  Rue de la Loubière, Marseille  13005  France",""," [5.389277 , 43.290449] ",2,FREVZEBAJA2,1514107,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613312,ENGIE MAMP - Bornes publiques/8EF05F63-6AFE-4F04-A9E3-CA50849D61AC,Voirie,"57  Rue de la Loubière, Marseille  13005  France",""," [5.389277 , 43.290449] ",2,FREVZEBAJA1,1514104,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613315,ENGIE MAMP - Bornes publiques/A3F0F8CA-B96A-4723-99B2-CFB3EFC15224,Voirie,"58  Boulevard Vauban, Marseille  13006  France",""," [5.37587 , 43.284198] ",2,FREVZEAXYL2,1514113,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613315,ENGIE MAMP - Bornes publiques/A3F0F8CA-B96A-4723-99B2-CFB3EFC15224,Voirie,"58  Boulevard Vauban, Marseille  13006  France",""," [5.37587 , 43.284198] ",2,FREVZEAXYL1,1514110,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613318,ENGIE MAMP - Bornes publiques/ACA96EA3-15A1-4A74-B9CC-B0B82AA7962C,Voirie,"  Avenue de Mazargues, Marseille  13008  France",""," [5.393886 , 43.255794] ",2,FREVZEDUFF1,1514116,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613318,ENGIE MAMP - Bornes publiques/ACA96EA3-15A1-4A74-B9CC-B0B82AA7962C,Voirie,"  Avenue de Mazargues, Marseille  13008  France",""," [5.393886 , 43.255794] ",2,FREVZEDUFF2,1514119,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613321,ENGIE MAMP - Bornes publiques/B606C19F-6882-41AF-A504-A237DF388AFC,Voirie,"14  Rue des Orgues, Marseille  13004  France",""," [5.398803 , 43.299757] ",2,FREVZEBREY2,1514125,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613321,ENGIE MAMP - Bornes publiques/B606C19F-6882-41AF-A504-A237DF388AFC,Voirie,"14  Rue des Orgues, Marseille  13004  France",""," [5.398803 , 43.299757] ",2,FREVZEBREY1,1514122,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613324,ENGIE MAMP - Bornes publiques/B9BE4900-8288-48A1-B1BF-31418A18AC91,Voirie,"3  Rue Bailli de Suffren, Plan-de-Cuques  13380  France",""," [5.468984 , 43.354728] ",2,FREVZEELDI1,1514128,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613324,ENGIE MAMP - Bornes publiques/B9BE4900-8288-48A1-B1BF-31418A18AC91,Voirie,"3  Rue Bailli de Suffren, Plan-de-Cuques  13380  France",""," [5.468984 , 43.354728] ",2,FREVZEELDI2,1514131,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,678950,ENGIE MAMP - Bornes publiques/D2447B64-5CEF-4A60-8CE9-8BAA3D3145E8,Voirie,"  Rue Guy de Combaud Roquebrune, Marseille  13007  France",""," [5.362979 , 43.288972] ",2,FREVZEANKE1,1638479,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-02-17,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,678950,ENGIE MAMP - Bornes publiques/D2447B64-5CEF-4A60-8CE9-8BAA3D3145E8,Voirie,"  Rue Guy de Combaud Roquebrune, Marseille  13007  France",""," [5.362979 , 43.288972] ",2,FREVZEANKE2,1638482,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-02-17,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613327,ENGIE MAMP - Bornes publiques/D4DFEB50-10D6-4E3F-806D-D36CB1A244D4,Voirie,"2  Boulevard Gillibert, Marseille  13009  France",""," [5.409094 , 43.264841] ",2,FREVZEBETH1,1514134,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,613327,ENGIE MAMP - Bornes publiques/D4DFEB50-10D6-4E3F-806D-D36CB1A244D4,Voirie,"2  Boulevard Gillibert, Marseille  13009  France",""," [5.409094 , 43.264841] ",2,FREVZEBETH2,1514137,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-11-04,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,678953,ENGIE MAMP - Bornes publiques/F624558B-6A95-4B20-963A-5E3BD485F7E0,Voirie,"132  Boulevard de Roux Prolongé, Marseille  13004  France",""," [5.409014 , 43.307994] ",2,FREVZEAYLA2,1638488,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-12,False
SMEG Développement,"","",evZen | FR*EVZ,support@evzen.com,+33123456789,ENGIE MAMP - Bornes publiques,Non concerné,678953,ENGIE MAMP - Bornes publiques/F624558B-6A95-4B20-963A-5E3BD485F7E0,Voirie,"132  Boulevard de Roux Prolongé, Marseille  13004  France",""," [5.409014 , 43.307994] ",2,FREVZEAYLA1,1638485,22,False,True,False,False,False,False,True,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2022-12-12,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,767310,BornEco/63dcf040de530c3ec2928d03,Parking public,"  Rue Maréchal de Lattre de Tassigny, Nangis  77370  France",""," [3.013792 , 48.555402] ",4,FRBHMEHOTELDEVILLENANGIS2,1943613,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-07,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,767310,BornEco/63dcf040de530c3ec2928d03,Parking public,"  Rue Maréchal de Lattre de Tassigny, Nangis  77370  France",""," [3.013792 , 48.555402] ",4,FRBHMEHOTELDEVILLENANGIS1,1943610,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-07,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,767310,BornEco/63dcf040de530c3ec2928d03,Parking public,"  Rue Maréchal de Lattre de Tassigny, Nangis  77370  France",""," [3.013792 , 48.555402] ",4,FRBHMEHOTELDEVILLENANGIS3,1943616,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-07,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,767310,BornEco/63dcf040de530c3ec2928d03,Parking public,"  Rue Maréchal de Lattre de Tassigny, Nangis  77370  France",""," [3.013792 , 48.555402] ",4,FRBHMEHOTELDEVILLENANGIS4,1943619,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-07,False
Borneco,"","",Borneco | FR*BHM,technique.borneco@gmail.com,+33123456789,BornEco,Non concerné,767313,BornEco/63dcf0bade530c3ec2928d14,Parking public,"6  Place Dupont Perrot, Nangis  77370  France",""," [3.011686 , 48.557306] ",4,FRBHMEPOSTENANGIS3,1943628,22,False,True,False,False,False,False,False,"",True,"",Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,"",,"","",2023-04-21,False
